SIVBE,309,101
PBCT,310,3001
AORGB,311,343
JEN,312,1554
EBIX,313,3021
INXX,314,1358
AXDI,315,930
PBKS,316,1358
NMIL,317,698
CNBKA,318,3021
AXEN,319,930
AXGN,320,604
FESX,321,26
SKYW,322,3021
AXHE,323,930
AXID,324,930
JNP,325,184
PSTB,326,1356
AXIT,327,930
AGII,328,3004
BNHNA,329,1982
CMRG,330,2247
AXMT,331,930
AGLS,332,927
CMTY,333,978
JVI,334,322
CMVT,335,1118
AXSL,336,930
AXTE,337,930
AXUT,338,930
FFED,339,292
PTEC,340,1738
TOPP,341,953
TORM,342,3002
FTUSQ,343,5
FFHS,344,1815
KCS,345,637
JAVA,346,590
FFKT,347,3021
KDE,348,1613
FFKY,349,2770
XOMAD,350,20
CCTVY,351,20
CYTRE,352,24
ECNS,353,1324
ECON,354,1335
KKR,355,1377
CNMD,356,3021
PTSI,357,3021
USCI,358,1359
IPAR,359,3021
BKSC,360,3021
PARDD,361,40
CNXS,362,749
UBMT,363,779
JBOH,364,500
EDCI,365,860
PDEX,366,3001
UBSI,367,3021
ORCL,368,3021
SNFAE,369,6
YOCM,370,505
JAVAD,371,20
SNFCA,372,3015
LIT,373,1371
NOIZ,374,2168
COKE,375,3021
LNN,376,3021
LPH,377,618
EWSTD,378,20
HNBC,379,1579
EWSTE,380,47
NOVN,381,1425
AIRT,382,3021
AIRM,383,3021
FHCC,384,272
MAJ,385,33
MCP,386,1235
MMAN,387,216
MGG,388,334
MGM,389,2687
MHG,390,768
OSIP,391,1620
SNTK,392,217
MKL,393,3021
MKT,394,325
PEOP,395,1166
MPP,396,1140
MSS,397,427
CPSH,398,243
OSUR,399,3021
FICO,400,1605
FIBR,401,125
MMYT,402,1357
TROW,403,3021
HOMF,404,1090
PFDC,405,1066
FILE,406,702
HOST,407,415
GLOV,408,718
ANSLE,409,55
FISV,410,3021
NLN,411,849
EWST,412,1339
GLYT,413,1024
AKLM,414,161
NTG,415,1368
EWZS,416,1324
IEIBC,417,52
NWK,418,2180
TSFG,419,1700
GMAN,420,1362
AKRX,421,2242
RMCF,422,3021
EGAS,423,1615
TSTF,424,2117
TSRX,425,784
CADA,426,1164
OFG,427,3021
ALAN,428,1865
